,Timestamp,Date,Time,Source.IP,Source.Port,Destination.IP,Destination.Port,ACK.Flag.Count,Down.Up.Ratio,Total.Fwd.Packets,L7Protocol,ProtocolName
242,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1988,1,0,3,7,HTTP
247,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.10.41,50410,0,0,2,7,HTTP
248,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.10.41,50410,1,0,2,7,HTTP
267,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1990,0,0,2,7,HTTP
268,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1990,1,0,4,7,HTTP
276,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.32.49,54509,1,0,2,7,HTTP
277,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.32.49,54509,1,0,2,7,HTTP
283,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1992,0,0,2,7,HTTP
284,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1992,1,0,2,7,HTTP
307,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1994,0,0,3,7,HTTP
309,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1994,1,0,2,7,HTTP
341,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1996,0,0,5,7,HTTP
343,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1996,1,0,2,7,HTTP
360,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1729,1,0,6,7,HTTP
361,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1729,1,0,2,7,HTTP
362,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1729,1,0,2,7,HTTP
383,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1998,0,0,3,7,HTTP
385,26/04/201711:11:20,2017-04-26,11:11:20,10.200.7.9,3128,192.168.180.37,1998,1,0,2,7,HTTP
398,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2000,1,0,3,7,HTTP
414,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54507,1,0,2,7,HTTP
416,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54510,0,0,2,7,HTTP
417,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54507,1,0,2,7,HTTP
418,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54510,1,0,2,7,HTTP
433,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2004,0,0,3,7,HTTP
435,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2004,1,0,2,7,HTTP
436,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2004,1,0,3,7,HTTP
525,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54501,0,0,2,7,HTTP
526,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54501,1,0,2,7,HTTP
529,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54502,0,0,2,7,HTTP
534,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.32.49,54493,0,0,498,131,HTTP_PROXY
535,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54493,1,0,2,131,HTTP_PROXY
536,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.32.49,54493,0,0,2,131,HTTP_PROXY
559,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2006,0,0,2,7,HTTP
560,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2006,0,0,2,7,HTTP
645,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2008,0,0,5,7,HTTP
647,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2008,0,0,2,7,HTTP
728,26/04/201711:11:21,2017-04-26,11:11:21,10.200.7.9,3128,192.168.180.37,2010,1,0,60,7,HTTP
730,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2010,0,0,3,7,HTTP
732,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2010,1,0,2,7,HTTP
785,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.32.70,60420,1,0,1239,131,HTTP_PROXY
799,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2012,0,0,5,7,HTTP
802,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2012,0,0,2,7,HTTP
873,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2014,0,0,4,7,HTTP
874,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.180.37,2014,1,0,2,7,HTTP
907,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.10.121,57777,1,0,2,7,HTTP
908,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.10.121,57777,0,0,2,7,HTTP
944,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2016,0,0,4,7,HTTP
946,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2016,1,0,2,7,HTTP
947,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2016,1,0,2,7,HTTP
978,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2018,0,0,3,7,HTTP
979,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2018,0,0,4,7,HTTP
1014,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.180.37,2020,1,0,3,7,HTTP
1047,26/04/201711:11:23,2017-04-26,11:11:23,10.200.7.9,3128,192.168.131.39,51293,1,0,2,7,HTTP
1080,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.131.39,51294,0,0,5,7,HTTP
1081,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.131.39,51294,1,0,4,7,HTTP
1082,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.131.39,51294,1,3,1,7,HTTP
1142,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54505,0,0,2,7,HTTP
1143,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54505,1,0,2,7,HTTP
1146,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54499,1,0,2,7,HTTP
1147,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54499,0,0,2,7,HTTP
1150,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54506,1,0,2,7,HTTP
1152,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54506,1,0,2,7,HTTP
1154,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54508,0,0,2,7,HTTP
1155,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54508,1,0,2,7,HTTP
1158,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54516,1,0,2,7,HTTP
1159,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54516,1,0,2,7,HTTP
1163,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54518,1,0,2,7,HTTP
1164,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54518,0,0,2,7,HTTP
1187,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.180.37,2024,1,0,5,7,HTTP
1196,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54523,1,0,2,7,HTTP
1197,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54523,0,0,2,7,HTTP
1220,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54527,1,0,2,7,HTTP
1221,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54527,0,0,2,7,HTTP
1227,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.180.37,2026,1,0,2,7,HTTP
1228,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.180.37,2026,1,0,3,7,HTTP
1242,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54525,1,0,2,7,HTTP
1243,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54525,1,0,2,7,HTTP
1250,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54497,1,0,2,7,HTTP
1253,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54526,1,0,2,7,HTTP
1254,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54526,0,0,2,7,HTTP
1261,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54515,1,0,2,131,HTTP_PROXY
1262,26/04/201711:11:22,2017-04-26,11:11:22,10.200.7.9,3128,192.168.190.57,1518,0,0,5,7,HTTP
1263,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54515,0,0,2,131,HTTP_PROXY
1266,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54528,1,0,2,7,HTTP
1267,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54528,0,0,2,7,HTTP
1270,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54517,0,0,2,7,HTTP
1271,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54517,0,0,2,7,HTTP
1274,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54522,0,0,2,7,HTTP
1275,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54522,1,0,2,7,HTTP
1278,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54495,1,0,2,7,HTTP
1279,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54495,1,0,2,7,HTTP
1282,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54524,0,0,2,7,HTTP
1283,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54524,1,0,2,7,HTTP
1289,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54530,0,0,2,7,HTTP
1304,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.180.37,2030,1,0,2,7,HTTP
1305,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.180.37,2030,1,0,4,7,HTTP
1308,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54532,1,0,2,7,HTTP
1309,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54532,0,0,2,7,HTTP
1325,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54533,0,0,2,7,HTTP
1326,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54533,0,0,2,7,HTTP
1339,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54537,1,0,2,7,HTTP
1340,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54537,0,0,2,7,HTTP
1341,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.32.49,54536,1,0,29,7,HTTP
1343,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54536,0,0,2,7,HTTP
1344,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54536,0,0,2,7,HTTP
1359,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.180.37,2028,0,0,3,7,HTTP
1366,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54541,0,0,2,7,HTTP
1369,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54529,0,0,2,7,HTTP
1370,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.32.49,54529,0,0,2,7,HTTP
1414,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.180.37,2032,1,0,2,7,HTTP
1415,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.180.37,2032,0,0,2,7,HTTP
1497,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.180.37,2034,1,0,3,7,HTTP
1553,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.32.49,54544,1,0,2,7,HTTP
1554,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.32.49,54544,0,0,2,7,HTTP
1557,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.32.49,54547,0,0,2,7,HTTP
1558,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.32.49,54547,0,0,2,7,HTTP
1577,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.180.37,2036,1,0,2,7,HTTP
1578,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.180.37,2036,0,0,2,7,HTTP
1598,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.180.37,2038,0,0,4,7,HTTP
1646,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.180.37,2040,1,0,2,7,HTTP
1663,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.32.49,54546,0,0,2,7,HTTP
1664,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.32.49,54546,1,0,2,7,HTTP
1672,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.32.49,54548,0,0,2,7,HTTP
1673,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.32.49,54548,1,0,2,7,HTTP
1675,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.180.37,2042,1,0,2,7,HTTP
1677,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.180.37,2042,1,0,2,7,HTTP
1678,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.180.37,2042,0,0,2,7,HTTP
1734,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54531,0,0,2,7,HTTP
1736,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54531,0,0,2,7,HTTP
1742,26/04/201711:11:26,2017-04-26,11:11:26,10.200.7.9,3128,192.168.190.57,1563,0,0,38,7,HTTP
1744,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.190.57,1563,1,0,2,7,HTTP
1747,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54542,0,0,2,7,HTTP
1748,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54542,1,0,2,7,HTTP
1769,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2044,1,0,4,7,HTTP
1771,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2044,0,0,2,7,HTTP
1772,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2044,0,0,2,7,HTTP
1780,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54545,1,0,2,7,HTTP
1781,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54545,1,0,2,7,HTTP
1782,26/04/201711:11:27,2017-04-26,11:11:27,10.200.7.9,3128,192.168.190.57,1568,1,0,36,131,HTTP_PROXY
1783,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.190.57,1568,0,0,2,131,HTTP_PROXY
1819,26/04/201711:11:24,2017-04-26,11:11:24,10.200.7.9,3128,192.168.190.57,1549,0,0,32,7,HTTP
1821,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.190.57,1549,1,0,2,7,HTTP
1824,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54543,1,0,2,7,HTTP
1826,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54543,0,0,2,7,HTTP
1827,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2046,0,0,72,7,HTTP
1828,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2046,1,0,3,7,HTTP
1830,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2046,1,0,2,7,HTTP
1833,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54535,1,0,2,7,HTTP
1834,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2046,1,0,3,7,HTTP
1835,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54535,1,0,2,7,HTTP
1883,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.42.101,60067,0,0,2,7,HTTP
1885,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.42.101,60068,0,0,2,7,HTTP
1889,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54552,1,0,2,7,HTTP
1890,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54552,0,0,2,7,HTTP
1893,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54551,0,0,2,7,HTTP
1894,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54551,0,0,2,7,HTTP
1908,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54539,0,0,2,131,HTTP_PROXY
1909,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54539,1,0,2,131,HTTP_PROXY
1912,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54554,1,0,2,7,HTTP
1913,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54554,0,0,2,7,HTTP
1918,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54550,0,0,2,7,HTTP
1919,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.32.49,54550,1,0,2,7,HTTP
1923,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2048,0,0,2,7,HTTP
1924,26/04/201711:11:28,2017-04-26,11:11:28,10.200.7.9,3128,192.168.180.37,2048,1,0,4,7,HTTP
2024,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.10.48,50703,0,0,2,7,HTTP
2025,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.10.48,50703,1,0,2,7,HTTP
2028,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.10.48,50702,0,0,2,7,HTTP
2029,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.10.48,50702,1,0,2,7,HTTP
2044,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.180.37,2050,0,0,3,7,HTTP
2046,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.180.37,2050,0,0,3,7,HTTP
2047,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.180.37,2050,0,0,2,7,HTTP
2070,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54555,0,0,2,7,HTTP
2073,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54556,0,0,2,7,HTTP
2132,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,172.19.1.35,53486,0,0,38,131,HTTP_PROXY
2199,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54560,1,0,2,7,HTTP
2200,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54560,0,0,2,7,HTTP
2203,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54561,0,0,2,7,HTTP
2204,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54561,1,0,2,7,HTTP
2207,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54562,1,0,2,7,HTTP
2208,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.32.49,54562,0,0,2,7,HTTP
2210,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.180.37,2054,0,0,3,7,HTTP
2211,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.180.37,2054,0,0,2,7,HTTP
2227,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54558,0,0,2,7,HTTP
2228,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54558,0,0,2,7,HTTP
2232,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54565,0,0,2,7,HTTP
2233,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54565,1,0,2,7,HTTP
2246,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.180.6,60932,1,0,2,7,HTTP
2247,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.180.6,60932,1,0,2,7,HTTP
2280,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,172.19.1.35,53491,0,0,24,7,HTTP
2342,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54557,0,0,2,7,HTTP
2343,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54557,1,0,2,7,HTTP
2346,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54549,0,0,2,7,HTTP
2347,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54549,1,0,2,7,HTTP
2350,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54569,0,0,2,7,HTTP
2351,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54569,1,0,2,7,HTTP
2354,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54571,1,0,2,7,HTTP
2405,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54566,1,0,2,7,HTTP
2406,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54566,1,0,2,7,HTTP
2422,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.190.57,1560,0,0,34,7,HTTP
2428,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54564,1,0,2,7,HTTP
2429,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54564,0,0,2,7,HTTP
2434,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54563,0,0,2,7,HTTP
2436,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54563,1,0,2,7,HTTP
2440,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54567,1,0,2,7,HTTP
2441,26/04/201711:11:30,2017-04-26,11:11:30,10.200.7.9,3128,192.168.32.49,54567,0,0,2,7,HTTP
2442,26/04/201711:11:29,2017-04-26,11:11:29,10.200.7.9,3128,192.168.190.57,1574,1,0,34,7,HTTP
2449,26/04/201711:11:25,2017-04-26,11:11:25,10.200.7.9,3128,192.168.190.57,1559,0,0,33,7,HTTP
